segment_id,rds_man_no,road_name,road_bt,tier,cctv_coverage,current_status,lat,lon,start_lat,start_lon,end_lat,end_lon,length_m,road_lt_raw,geomFilter
seg_2213,2213,동계로13번길,2.0,CANDIDATE,COVERED,YELLOW,35.153601,126.922756,35.153725,126.922657,35.153471,126.922844,32.9,32.0,"BOX(126.922437,35.153291,126.923064,35.153905)"
seg_2215,2215,동계로13번길,4.0,CANDIDATE,COVERED,YELLOW,35.153607,126.922354,35.153383,126.922093,35.15378,126.922667,68.9,69.0,"BOX(126.921873,35.153203,126.922887,35.153960)"
seg_2216,2216,동계로13번길,4.0,CANDIDATE,COVERED,YELLOW,35.153611,126.922182,35.153377,126.922554,35.153737,126.921704,91.2,91.0,"BOX(126.921484,35.153197,126.922774,35.153917)"
seg_2217,2217,동계로13번길,3.0,CANDIDATE,COVERED,YELLOW,35.153791,126.921888,35.153722,126.921751,35.153827,126.922011,29.2,28.0,"BOX(126.921531,35.153542,126.922231,35.154007)"
seg_2218,2218,동계로13번길,2.0,CANDIDATE,COVERED,YELLOW,35.153749,126.922274,35.15364,126.922406,35.153861,126.92234,34.1,36.0,"BOX(126.922022,35.153460,126.922626,35.154041)"
seg_2219,2219,동계로13번길,2.0,CANDIDATE,COVERED,YELLOW,35.153739,126.922455,35.153699,126.922502,35.15378,126.922408,12.5,13.0,"BOX(126.922187,35.153519,126.922723,35.153960)"
seg_2205,2205,동계로15번길,2.0,CANDIDATE,BLIND,GRAY,35.154274,126.921937,35.154087,126.921985,35.154496,126.922072,56.8,58.0,"BOX(126.921636,35.153907,126.922292,35.154677)"
seg_2210,2210,동계로15번길,4.0,CANDIDATE,BLIND,GRAY,35.153537,126.923827,35.153222,126.924347,35.153887,126.923331,119.0,119.0,"BOX(126.923111,35.153042,126.924568,35.154067)"
seg_2212,2212,동계로15번길,4.0,CANDIDATE,BLIND,GRAY,35.153857,126.922993,35.153887,126.92333,35.15378,126.922667,62.0,63.0,"BOX(126.922447,35.153600,126.923551,35.154067)"
seg_2214,2214,동계로15번길,7.0,CANDIDATE,BLIND,GRAY,35.154263,126.922686,35.15405,126.922694,35.154464,126.92257,49.4,49.0,"BOX(126.922350,35.153870,126.922947,35.154644)"
seg_2358,2358,동계로15번길,1.0,FIXED_BLOCK,,RED,35.153323,126.924087,35.153339,126.924106,35.153306,126.924068,5.1,5.0,"BOX(126.923847,35.153126,126.924326,35.153519)"
seg_2359,2359,동계로15번길,1.5,FIXED_BLOCK,,RED,35.153436,126.923923,35.153459,126.923946,35.153412,126.9239,6.7,7.0,"BOX(126.923679,35.153232,126.924167,35.153640)"
seg_623,623,동계로15번길,6.0,CANDIDATE,COVERED,YELLOW,35.15374,126.923674,35.153135,126.924444,35.154017,126.921624,196.4,302.0,"BOX(126.921403,35.152955,126.924664,35.154268)"
seg_121,121,동계로1번길,7.0,CANDIDATE,COVERED,YELLOW,35.152059,126.923145,35.151871,126.924083,35.152253,126.92221,175.4,175.0,"BOX(126.921989,35.151691,126.924303,35.152433)"
seg_2138,2138,동계로1번길,9.0,CANDIDATE,COVERED,YELLOW,35.152602,126.922426,35.152251,126.922219,35.152969,126.922583,87.4,88.0,"BOX(126.921998,35.152070,126.922803,35.153149)"
seg_2141,2141,동계로1번길,3.0,CANDIDATE,COVERED,YELLOW,35.152518,126.922821,35.152151,126.922699,35.152886,126.92294,84.7,85.0,"BOX(126.922478,35.151971,126.923160,35.153067)"
seg_2142,2142,동계로1번길,7.0,CANDIDATE,COVERED,YELLOW,35.152437,126.923194,35.152076,126.923064,35.152797,126.923324,83.5,84.0,"BOX(126.922844,35.151896,126.923545,35.152978)"
seg_2144,2144,동계로1번길,4.0,CANDIDATE,COVERED,YELLOW,35.152352,126.923584,35.151994,126.923471,35.15271,126.9237,82.2,82.0,"BOX(126.923251,35.151813,126.923921,35.152891)"
seg_2146,2146,동계로1번길,3.0,CANDIDATE,COVERED,YELLOW,35.152279,126.923924,35.151925,126.923815,35.152632,126.924037,81.1,81.0,"BOX(126.923595,35.151744,126.924257,35.152813)"
seg_122,122,동계로9번길,9.0,CANDIDATE,COVERED,YELLOW,35.152774,126.923426,35.152576,126.92428,35.152972,126.922571,161.5,162.0,"BOX(126.922351,35.152396,126.924501,35.153152)"
seg_2151,2151,동계로9번길,4.0,CANDIDATE,COVERED,YELLOW,35.153138,126.922807,35.152963,126.92261,35.153266,126.923083,57.7,58.0,"BOX(126.922390,35.152782,126.923303,35.153446)"
seg_2174,2174,동계로9번길,2.0,CANDIDATE,COVERED,YELLOW,35.152739,126.923893,35.152671,126.923871,35.152807,126.923916,15.7,16.0,"BOX(126.923650,35.152491,126.924137,35.152987)"
seg_1627,1627,동계천로,3.0,CANDIDATE,COVERED,YELLOW,35.152825,126.919611,35.152853,126.919649,35.152798,126.919572,9.2,24.0,"BOX(126.919352,35.152618,126.919869,35.153033)"
seg_1631,1631,동계천로,3.0,CANDIDATE,COVERED,YELLOW,35.152907,126.919796,35.152812,126.919706,35.153,126.919887,26.6,27.0,"BOX(126.919485,35.152632,126.920108,35.153180)"
seg_1632,1632,동계천로,3.0,CANDIDATE,COVERED,YELLOW,35.152856,126.91998,35.152736,126.919874,35.152949,126.920113,33.0,34.0,"BOX(126.919654,35.152555,126.920333,35.153130)"
seg_1634,1634,동계천로,3.0,CANDIDATE,COVERED,YELLOW,35.152779,126.920161,35.152651,126.920057,35.152882,126.920305,34.8,35.0,"BOX(126.919837,35.152471,126.920525,35.153062)"
seg_1635,1635,동계천로,2.0,CANDIDATE,COVERED,YELLOW,35.152626,126.920404,35.152513,126.920251,35.152734,126.920562,37.4,37.0,"BOX(126.920031,35.152333,126.920782,35.152914)"
seg_1941,1941,동계천로,4.0,CANDIDATE,COVERED,YELLOW,35.148674,126.92835,35.149216,126.928442,35.148155,126.928136,121.7,121.0,"BOX(126.927915,35.147975,126.928662,35.149396)"
seg_2076,2076,동계천로,4.0,CANDIDATE,COVERED,YELLOW,35.149861,126.92359,35.149902,126.923633,35.14982,126.923547,11.9,81.0,"BOX(126.923326,35.149640,126.923853,35.150082)"
seg_2078,2078,동계천로,5.0,CANDIDATE,COVERED,YELLOW,35.149722,126.92446,35.149358,126.924385,35.150086,126.924534,81.9,82.0,"BOX(126.924165,35.149178,126.924755,35.150266)"
seg_2079,2079,동계천로,6.0,CANDIDATE,COVERED,YELLOW,35.149561,126.924825,35.149357,126.924388,35.149766,126.925263,91.6,92.0,"BOX(126.924167,35.149176,126.925483,35.149946)"
seg_2080,2080,동계천로,8.0,CANDIDATE,COVERED,YELLOW,35.149409,126.925191,35.148845,126.925079,35.149974,126.925304,127.0,127.0,"BOX(126.924858,35.148664,126.925524,35.150154)"
seg_2081,2081,동계천로,2.0,CANDIDATE,COVERED,YELLOW,35.149605,126.925376,35.149628,126.925235,35.149544,126.925454,26.2,26.0,"BOX(126.925015,35.149364,126.925681,35.149808)"
seg_2082,2082,동계천로,5.0,CANDIDATE,COVERED,YELLOW,35.14917,126.925502,35.149228,126.925155,35.149112,126.925848,64.3,65.0,"BOX(126.924935,35.148932,126.926068,35.149408)"
seg_2083,2083,동계천로,6.0,CANDIDATE,COVERED,YELLOW,35.149424,126.925912,35.148869,126.925844,35.149335,126.926583,124.8,124.0,"BOX(126.925603,35.148689,126.926804,35.149609)"
seg_2084,2084,동계천로,6.0,CANDIDATE,COVERED,YELLOW,35.149437,126.925802,35.149422,126.925911,35.149452,126.925692,20.2,20.0,"BOX(126.925472,35.149241,126.926132,35.149632)"
seg_2085,2085,동계천로,1.0,FIXED_BLOCK,,RED,35.149494,126.926121,35.149402,126.926102,35.149587,126.926139,20.8,21.0,"BOX(126.925882,35.149222,126.926359,35.149767)"
seg_2086,2086,동계천로,9.0,CANDIDATE,COVERED,YELLOW,35.149477,126.926527,35.149142,126.926661,35.149812,126.926392,78.3,80.0,"BOX(126.926172,35.148961,126.926881,35.149992)"
seg_2087,2087,동계천로,2.0,CANDIDATE,COVERED,YELLOW,35.149493,126.926653,35.149465,126.926531,35.149522,126.926776,23.1,23.0,"BOX(126.926311,35.149285,126.926996,35.149702)"
seg_2088,2088,동계천로,2.0,CANDIDATE,COVERED,YELLOW,35.14926,126.926908,35.149158,126.926919,35.149361,126.926876,23.1,23.0,"BOX(126.926656,35.148978,126.927141,35.149541)"
seg_2089,2089,동계천로,3.0,CANDIDATE,COVERED,YELLOW,35.149423,126.927099,35.149165,126.927068,35.14957,126.927221,58.3,57.0,"BOX(126.926833,35.148985,126.927441,35.149751)"
seg_2090,2090,동계천로,3.0,CANDIDATE,COVERED,YELLOW,35.149333,126.927367,35.149121,126.927303,35.149547,126.927415,48.6,49.0,"BOX(126.927083,35.148940,126.927636,35.149728)"
seg_2091,2091,동계천로,2.0,CANDIDATE,COVERED,YELLOW,35.149339,126.927642,35.149092,126.927449,35.149642,126.9277,68.2,68.0,"BOX(126.927229,35.148912,126.927921,35.149823)"
seg_2092,2092,동계천로,2.0,CANDIDATE,COVERED,YELLOW,35.149195,126.927819,35.149037,126.927815,35.149348,126.927798,35.1,35.0,"BOX(126.927577,35.148857,126.928043,35.149529)"
seg_2093,2093,동계천로,3.0,CANDIDATE,COVERED,YELLOW,35.149358,126.928121,35.149087,126.928065,35.149634,126.928156,62.0,62.0,"BOX(126.927845,35.148907,126.928376,35.149815)"
seg_2129,2129,동계천로,2.0,CANDIDATE,COVERED,YELLOW,35.151363,126.922001,35.151273,126.921949,35.151456,126.92203,22.1,22.0,"BOX(126.921729,35.151092,126.922255,35.151636)"
seg_2186,2186,동계천로,4.0,CANDIDATE,COVERED,YELLOW,35.152076,126.921641,35.151716,126.921168,35.152452,126.922098,117.7,118.0,"BOX(126.920948,35.151536,126.922318,35.152632)"
seg_2187,2187,동계천로,2.0,CANDIDATE,COVERED,YELLOW,35.152288,126.921782,35.152243,126.921843,35.152285,126.921703,15.1,15.0,"BOX(126.921482,35.152063,126.922064,35.152475)"
seg_2189,2189,동계천로,4.0,CANDIDATE,COVERED,YELLOW,35.152175,126.921082,35.152018,126.920856,35.152331,126.921308,53.8,54.0,"BOX(126.920636,35.151838,126.921529,35.152512)"
seg_2190,2190,동계천로,2.0,CANDIDATE,COVERED,YELLOW,35.152243,126.921041,35.152186,126.921098,35.152301,126.920985,16.4,17.0,"BOX(126.920764,35.152006,126.921319,35.152481)"
seg_2229,2229,동계천로,2.0,CANDIDATE,COVERED,YELLOW,35.148858,126.927481,35.149085,126.927489,35.148631,126.927474,50.4,50.0,"BOX(126.927254,35.148450,126.927709,35.149265)"
seg_2231,2231,동계천로,3.0,CANDIDATE,COVERED,YELLOW,35.151555,126.921548,35.151444,126.921468,35.15165,126.921652,28.5,29.0,"BOX(126.921248,35.151264,126.921872,35.151830)"
seg_354,354,동계천로,15.0,FIXED_PASS,,BLUE,35.149869,126.92369,35.153263,126.919155,35.149366,126.929274,1139.1,1776.0,"BOX(126.918935,35.148583,126.929494,35.153443)"
seg_2188,2188,동계천로85번길,4.0,CANDIDATE,COVERED,YELLOW,35.152235,126.921403,35.152628,126.921016,35.151843,126.921791,112.0,84.0,"BOX(126.920796,35.151663,126.922011,35.152808)"
seg_2191,2191,동계천로85번길,3.0,CANDIDATE,COVERED,YELLOW,35.152493,126.921373,35.152401,126.921239,35.152401,126.92148,31.7,31.0,"BOX(126.921019,35.152221,126.921700,35.152683)"
seg_2193,2193,동계천로85번길,4.0,CANDIDATE,COVERED,YELLOW,35.152798,126.921632,35.152852,126.921322,35.152841,126.921966,61.4,61.0,"BOX(126.921102,35.152602,126.922187,35.153032)"
seg_2194,2194,동계천로85번길,3.0,CANDIDATE,COVERED,YELLOW,35.152616,126.921587,35.152787,126.921441,35.152477,126.921723,46.6,47.0,"BOX(126.921221,35.152286,126.921943,35.152967)"
seg_2200,2200,동계천로85번길,4.0,CANDIDATE,COVERED,YELLOW,35.153377,126.921601,35.153073,126.921602,35.15368,126.921594,67.5,66.0,"BOX(126.921373,35.152893,126.921826,35.153860)"
seg_2201,2201,동계천로85번길,3.0,CANDIDATE,COVERED,YELLOW,35.15349,126.921492,35.153474,126.921605,35.153517,126.921382,20.9,20.0,"BOX(126.921161,35.153294,126.921825,35.153697)"
seg_253,253,동계천로85번길,5.0,CANDIDATE,COVERED,YELLOW,35.152754,126.921188,35.152282,126.920501,35.153237,126.921863,163.2,163.0,"BOX(126.920280,35.152102,126.922083,35.153417)"
seg_3042,3042,동계천로85번길,1.5,FIXED_BLOCK,,RED,35.152616,126.921497,35.152646,126.921555,35.152586,126.921439,12.5,11.641,"BOX(126.921219,35.152405,126.921776,35.152826)"
seg_2192,2192,동계천로95번길,4.0,CANDIDATE,COVERED,YELLOW,35.152562,126.922188,35.152456,126.922096,35.152674,126.922271,29.0,29.0,"BOX(126.921876,35.152276,126.922491,35.152854)"
seg_2196,2196,동계천로95번길,3.0,CANDIDATE,COVERED,YELLOW,35.152909,126.922269,35.152847,126.921964,35.15296,126.922575,57.1,58.0,"BOX(126.921744,35.152666,126.922796,35.153140)"
seg_2197,2197,동계천로95번길,3.0,CANDIDATE,COVERED,YELLOW,35.15299,126.922233,35.152914,126.92229,35.153068,126.922179,19.8,21.0,"BOX(126.921959,35.152734,126.922510,35.153248)"
seg_2198,2198,동계천로95번길,5.0,CANDIDATE,COVERED,YELLOW,35.153303,126.921973,35.153208,126.921871,35.153383,126.922106,29.9,26.0,"BOX(126.921650,35.153027,126.922326,35.153563)"
seg_2202,2202,동계천로95번길,3.0,CANDIDATE,COVERED,YELLOW,35.153795,126.920902,35.153711,126.921712,35.154412,126.920981,163.7,163.0,"BOX(126.920638,35.153426,126.921932,35.154592)"
seg_2203,2203,동계천로95번길,5.0,CANDIDATE,COVERED,YELLOW,35.153894,126.921239,35.154041,126.921617,35.153737,126.921383,83.6,71.0,"BOX(126.920962,35.153514,126.921837,35.154221)"
seg_2340,2340,동계천로95번길,1.0,FIXED_BLOCK,,RED,35.153563,126.921247,35.153608,126.921282,35.153529,126.921195,12.1,13.0,"BOX(126.920975,35.153349,126.921502,35.153788)"
seg_2929,2929,동계천로95번길,2.0,CANDIDATE,COVERED,YELLOW,35.153309,126.922088,35.153339,126.922033,35.153279,126.922143,12.0,11.976,"BOX(126.921813,35.153099,126.922363,35.153519)"
seg_624,624,동계천로95번길,6.0,CANDIDATE,COVERED,YELLOW,35.15284,126.921966,35.151659,126.921215,35.15449,126.921612,373.9,374.0,"BOX(126.920995,35.151479,126.922430,35.154670)"
seg_1920,1920,동명로,2.0,CANDIDATE,COVERED,YELLOW,35.150765,126.928773,35.150881,126.928786,35.150651,126.928768,25.9,37.0,"BOX(126.928547,35.150471,126.929006,35.151061)"
seg_2107,2107,동명로,2.0,CANDIDATE,COVERED,YELLOW,35.151457,126.925215,35.151612,126.925279,35.151302,126.925149,36.4,37.0,"BOX(126.924928,35.151122,126.925500,35.151792)"
seg_2119,2119,동명로,7.0,CANDIDATE,COVERED,YELLOW,35.150942,126.922874,35.150805,126.923411,35.151044,126.922325,102.4,104.0,"BOX(126.922105,35.150625,126.923632,35.151225)"
seg_2158,2158,동명로,2.0,CANDIDATE,COVERED,YELLOW,35.152102,126.924427,35.151797,126.924264,35.152265,126.924655,73.9,74.0,"BOX(126.924044,35.151617,126.924875,35.152445)"
seg_2159,2159,동명로,2.0,CANDIDATE,COVERED,YELLOW,35.151893,126.924799,35.151712,126.924722,35.152071,126.924889,42.6,43.0,"BOX(126.924502,35.151532,126.925109,35.152251)"
seg_2160,2160,동명로,2.0,CANDIDATE,COVERED,YELLOW,35.152034,126.925388,35.151558,126.925613,35.152513,126.92513,149.9,142.0,"BOX(126.924878,35.151378,126.925936,35.152693)"
seg_2161,2161,동명로,2.0,CANDIDATE,COVERED,YELLOW,35.151933,126.925023,35.15168,126.924893,35.152134,126.924996,60.9,61.0,"BOX(126.924673,35.151500,126.925331,35.152314)"
seg_2162,2162,동명로,3.0,CANDIDATE,COVERED,YELLOW,35.152138,126.925913,35.151517,126.925823,35.1526,126.926127,158.4,158.0,"BOX(126.925602,35.151337,126.926405,35.152780)"
seg_2163,2163,동명로,3.0,CANDIDATE,COVERED,YELLOW,35.152207,126.926079,35.15211,126.925993,35.152178,126.926271,35.6,34.0,"BOX(126.925773,35.151930,126.926492,35.152396)"
seg_2164,2164,동명로,3.0,CANDIDATE,COVERED,YELLOW,35.151901,126.926933,35.151183,126.92728,35.152375,126.926185,191.1,193.0,"BOX(126.925965,35.151003,126.927514,35.152555)"
seg_2165,2165,동명로,3.0,CANDIDATE,COVERED,YELLOW,35.151669,126.927073,35.151656,126.927257,35.151701,126.926888,34.2,34.0,"BOX(126.926668,35.151468,126.927478,35.151881)"
seg_2885,2885,동명로,2.0,CANDIDATE,COVERED,YELLOW,35.152248,126.926426,35.15233,126.926459,35.152164,126.926399,19.4,18.489,"BOX(126.926178,35.151984,126.926680,35.152510)"
seg_2924,2924,동명로,1.0,FIXED_BLOCK,,RED,35.152177,126.925806,35.152171,126.925901,35.152197,126.925707,18.5,16.775,"BOX(126.925487,35.151979,126.926121,35.152377)"
seg_322,322,동명로,20.0,FIXED_PASS,,BLUE,35.151675,126.924922,35.150252,126.923021,35.151064,126.927903,559.2,1149.0,"BOX(126.922800,35.150072,126.928123,35.152013)"
seg_131,131,동명로14번길,6.0,CANDIDATE,COVERED,YELLOW,35.14993,126.925621,35.150345,126.923121,35.149638,126.928152,466.4,468.0,"BOX(126.922900,35.149458,126.928372,35.150526)"
seg_2094,2094,동명로14번길,2.0,CANDIDATE,COVERED,YELLOW,35.149882,126.928154,35.149634,126.928156,35.150129,126.928161,55.0,55.0,"BOX(126.927932,35.149454,126.928382,35.150310)"
seg_2095,2095,동명로14번길,1.0,FIXED_BLOCK,,RED,35.149843,126.92791,35.149853,126.928154,35.149833,126.927666,44.4,44.0,"BOX(126.927446,35.149653,126.928375,35.150033)"
seg_2097,2097,동명로14번길,2.0,CANDIDATE,BLIND,GRAY,35.149816,126.9271,35.149734,126.927071,35.149897,126.92713,18.9,19.0,"BOX(126.926850,35.149554,126.927350,35.150078)"
seg_2098,2098,동명로14번길,7.0,CANDIDATE,COVERED,YELLOW,35.150111,126.926275,35.149812,126.926393,35.15041,126.926158,69.8,67.0,"BOX(126.925938,35.149631,126.926613,35.150590)"
seg_2099,2099,동명로14번길,7.0,CANDIDATE,BLIND,GRAY,35.150237,126.925363,35.149974,126.925306,35.1505,126.925419,59.2,59.0,"BOX(126.925086,35.149794,126.925640,35.150680)"
seg_2100,2100,동명로14번길,6.0,CANDIDATE,COVERED,YELLOW,35.150344,126.924589,35.150087,126.92453,35.150602,126.924648,58.2,58.0,"BOX(126.924309,35.149906,126.924868,35.150782)"
seg_2102,2102,동명로14번길,1.0,FIXED_BLOCK,,RED,35.150275,126.923826,35.150189,126.923807,35.150362,126.923844,19.5,20.0,"BOX(126.923587,35.150009,126.924065,35.150542)"
seg_129,129,동명로20번길,5.0,CANDIDATE,COVERED,YELLOW,35.150457,126.925779,35.150805,126.923411,35.150135,126.928152,437.8,440.0,"BOX(126.923191,35.149955,126.928373,35.150986)"
seg_2096,2096,동명로20번길,3.0,CANDIDATE,COVERED,YELLOW,35.150046,126.927388,35.150223,126.927341,35.149852,126.927396,49.9,47.0,"BOX(126.927102,35.149672,126.927652,35.150404)"
seg_2101,2101,동명로20번길,2.0,CANDIDATE,COVERED,YELLOW,35.150753,126.923913,35.150708,126.923901,35.150797,126.923925,10.2,11.0,"BOX(126.923681,35.150528,126.924146,35.150978)"
seg_2103,2103,동명로20번길,5.0,CANDIDATE,COVERED,YELLOW,35.150986,126.923821,35.150753,126.92361,35.151252,126.923948,64.5,65.0,"BOX(126.923390,35.150572,126.924169,35.151433)"
seg_2106,2106,동명로20번길,6.0,CANDIDATE,COVERED,YELLOW,35.150872,126.9247,35.150602,126.924648,35.151141,126.924753,60.6,61.0,"BOX(126.924427,35.150422,126.924973,35.151321)"
seg_2108,2108,동명로20번길,7.0,CANDIDATE,COVERED,YELLOW,35.150769,126.925471,35.1505,126.925417,35.151039,126.925525,60.6,60.0,"BOX(126.925197,35.150320,126.925746,35.151219)"
seg_2112,2112,동명로20번길,7.0,CANDIDATE,COVERED,YELLOW,35.150564,126.926969,35.150286,126.926923,35.150842,126.927016,62.4,62.0,"BOX(126.926702,35.150105,126.927236,35.151022)"
seg_2116,2116,동명로20번길,2.0,CANDIDATE,COVERED,YELLOW,35.15024,126.927723,35.150169,126.927715,35.150311,126.927731,15.9,16.0,"BOX(126.927494,35.149988,126.927952,35.150492)"
seg_2117,2117,동명로20번길,2.0,CANDIDATE,COVERED,YELLOW,35.150367,126.928115,35.150129,126.928161,35.1506,126.92804,53.7,53.0,"BOX(126.927819,35.149949,126.928383,35.150780)"
seg_2118,2118,동명로20번길,3.0,CANDIDATE,COVERED,YELLOW,35.150306,126.925807,35.150453,126.925809,35.150196,126.92574,32.7,32.0,"BOX(126.925520,35.150015,126.926029,35.150633)"
seg_120,120,동명로25번길,6.0,CANDIDATE,BLIND,GRAY,35.151579,126.92277,35.151323,126.923742,35.151855,126.921806,185.6,187.0,"BOX(126.921585,35.151143,126.923962,35.152035)"
seg_2122,2122,동명로25번길,3.0,CANDIDATE,BLIND,GRAY,35.151248,126.922869,35.151526,126.922977,35.15097,126.922763,64.7,65.0,"BOX(126.922543,35.150790,126.923197,35.151706)"
seg_2124,2124,동명로25번길,2.0,CANDIDATE,BLIND,GRAY,35.151161,126.923211,35.151439,126.923312,35.150885,126.923097,64.5,65.0,"BOX(126.922877,35.150705,126.923533,35.151619)"
seg_2126,2126,동명로25번길,7.0,CANDIDATE,BLIND,GRAY,35.1514,126.922437,35.151594,126.922711,35.151206,126.922163,65.9,66.0,"BOX(126.921942,35.151026,126.922932,35.151774)"
seg_2127,2127,동명로25번길,2.0,CANDIDATE,BLIND,GRAY,35.151641,126.922214,35.15173,126.922239,35.151554,126.922179,20.3,20.0,"BOX(126.921959,35.151374,126.922459,35.151910)"
seg_2131,2131,동명로25번길,2.0,CANDIDATE,BLIND,GRAY,35.151829,126.922223,35.151747,126.922179,35.151913,126.922262,19.9,20.0,"BOX(126.921959,35.151567,126.922483,35.152093)"
seg_2132,2132,동명로25번길,3.0,CANDIDATE,BLIND,GRAY,35.151934,126.922473,35.151692,126.922372,35.152176,126.922578,56.9,57.0,"BOX(126.922151,35.151512,126.922798,35.152356)"
seg_2134,2134,동명로25번길,7.0,CANDIDATE,COVERED,YELLOW,35.151835,126.922887,35.151595,126.922707,35.152075,126.923067,62.5,63.0,"BOX(126.922487,35.151415,126.923287,35.152255)"
seg_2136,2136,동명로25번길,4.0,CANDIDATE,BLIND,GRAY,35.151711,126.923419,35.151439,126.923313,35.151981,126.923533,63.4,63.0,"BOX(126.923092,35.151259,126.923754,35.152161)"
seg_127,127,동명로26번길,6.0,CANDIDATE,COVERED,YELLOW,35.150988,126.925912,35.151308,126.923732,35.15059,126.928045,403.2,402.0,"BOX(126.923511,35.150410,126.928265,35.151488)"
